,Mean,Std,Min,Max
MAE_TO,21.64860474335104,7.63830110181263,9.375,39.285714285714285
MAE_IC,35.43043567535941,15.429023794060045,13.771929824561404,73.11688311688312
Acc_TO_20ms,83.08266115437263,7.696151997536276,70.45454545454545,94.24778761061947
Acc_IC_20ms,77.55887033913828,10.771546514262598,57.377049180327866,92.69662921348315
Acc_TO_50ms,91.3905545252455,4.298652485565225,82.32044198895028,97.3568281938326
Acc_IC_50ms,82.37408716515601,9.984159154195465,61.87845303867403,96.06741573033707
RMSE_TO,75.9894919124685,41.803456338224585,21.8424474593214,183.27526567665794
RMSE_IC,127.25447133698235,65.25468641001609,35.50389155838376,256.45856521277597
Precision_TO,0.75063517749462,0.09798118412541117,0.5656934306569343,0.9044943820224719
Precision_IC,0.7562260125697449,0.11059003855611226,0.574585635359116,0.9269662921348315
Recall_TO,0.8308266115437263,0.07696151997536274,0.7045454545454546,0.9424778761061947
Recall_IC,0.7755887033913826,0.10771546514262598,0.5737704918032787,0.9269662921348315
F1_TO,0.7877205737192459,0.08614871967692865,0.6275303643724697,0.9096045197740114
F1_IC,0.7656090850088041,0.10865961338227723,0.574585635359116,0.9269662921348315
